1781106051.763258 server started (37777): version 3.6a, socket /run/user/1000/tmux-1000/default, protocol 8
1781106051.763306 on Linux 6.18.34 #1-NixOS SMP PREEMPT_DYNAMIC Mon Jun  1 15:51:08 UTC 2026
1781106051.763317 using libevent 2.1.12-stable poll
1781106051.763326 using utf8proc 2.11.3
1781106051.763331 using ncurses 6.6 20251230
1781106051.763421 input_key_build: 0x10e003 (PasteStart) is \033[200~
1781106051.763426 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1781106051.763431 input_key_build: 0x10e25b (F1) is \033OP
1781106051.763436 input_key_build: 0x10e25c (F2) is \033OQ
1781106051.763444 input_key_build: 0x10e25d (F3) is \033OR
1781106051.763449 input_key_build: 0x10e25e (F4) is \033OS
1781106051.763454 input_key_build: 0x10e25f (F5) is \033[15~
1781106051.763459 input_key_build: 0x10e260 (F6) is \033[17~
1781106051.763464 input_key_build: 0x10e261 (F7) is \033[18~
1781106051.763468 input_key_build: 0x10e262 (F8) is \033[19~
1781106051.763473 input_key_build: 0x10e263 (F9) is \033[20~
1781106051.763478 input_key_build: 0x10e264 (F10) is \033[21~
1781106051.763482 input_key_build: 0x10e265 (F11) is \033[23~
1781106051.763487 input_key_build: 0x10e266 (F12) is \033[24~
1781106051.763492 input_key_build: 0x10e267 (IC) is \033[2~
1781106051.763496 input_key_build: 0x10e268 (DC) is \033[3~
1781106051.763501 input_key_build: 0x10e269 (Home) is \033[1~
1781106051.763506 input_key_build: 0x10e26a (End) is \033[4~
1781106051.763511 input_key_build: 0x10e26b (NPage) is \033[6~
1781106051.763515 input_key_build: 0x10e26c (PPage) is \033[5~
1781106051.763520 input_key_build: 0x10e26d (BTab) is \033[Z
1781106051.763525 input_key_build: 0x10e26e (Up) is \033[A
1781106051.763530 input_key_build: 0x10e26f (Down) is \033[B
1781106051.763534 input_key_build: 0x10e270 (Left) is \033[D
1781106051.763539 input_key_build: 0x10e271 (Right) is \033[C
1781106051.763544 input_key_build: 0x10e272 (KP/) is /
1781106051.763549 input_key_build: 0x10e273 (KP*) is *
1781106051.763556 input_key_build: 0x10e274 (KP-) is -
1781106051.763561 input_key_build: 0x10e275 (KP7) is 7
1781106051.763566 input_key_build: 0x10e276 (KP8) is 8
1781106051.763571 input_key_build: 0x10e277 (KP9) is 9
1781106051.763575 input_key_build: 0x10e278 (KP+) is +
1781106051.763580 input_key_build: 0x10e279 (KP4) is 4
1781106051.763585 input_key_build: 0x10e27a (KP5) is 5
1781106051.763589 input_key_build: 0x10e27b (KP6) is 6
1781106051.763595 input_key_build: 0x10e27c (KP1) is 1
1781106051.763599 input_key_build: 0x10e27d (KP2) is 2
1781106051.763604 input_key_build: 0x10e27e (KP3) is 3
1781106051.763609 input_key_build: 0x10e27f (KPEnter) is \n
1781106051.763613 input_key_build: 0x10e280 (KP0) is 0
1781106051.763618 input_key_build: 0x10e281 (KP.) is .
1781106051.763624 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1781106051.763629 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1781106051.763635 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1781106051.763639 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1781106051.763645 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1781106051.763649 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1781106051.763654 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1781106051.763659 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1781106051.763664 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1781106051.763668 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1781106051.763673 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1781106051.763678 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1781106051.763683 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1781106051.763688 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1781106051.763693 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
